run_id,period,strategy_id,threshold_method,lockout_years,difference_versus_benchmark,annualized_geometric_return,benchmark_annualized_geometric_return,alpha_pp,C,M,T,run_status,CV AP,CV AUC,CV R@FPR3,CV R@FPR5
C060_M030_T018,test,youden_3yr,youden,3,0.0032267600157864,0.140764941856238,0.137538181840451,0.32267600157864,-0.6,-0.3,18,skipped_complete_storage_pruned,0.151091182372982,0.8276046552552189,0.210968775020016,0.3046437149719775
C060_M030_T028,insample,fpr3_5yr,fpr3,5,0.0020333416723648,0.094421261207271,0.0923879195349062,0.20333416723647998,-0.6,-0.3,28,skipped_complete_storage_pruned,0.1593595976463852,0.8227082835446049,0.2486486486486486,0.3468468468468468
C060_M030_T028,test,youden_2yr,youden,2,0.0034292541414193,0.14096743598187,0.137538181840451,0.34292541414193,-0.6,-0.3,28,skipped_complete_storage_pruned,0.1593595976463852,0.8227082835446049,0.2486486486486486,0.3468468468468468
C080_M000_T028,insample,fpr3_5yr,fpr3,5,0.0005731012214407,0.0929610207563469,0.0923879195349062,0.05731012214407,-0.8,0.0,28,completed_full_storage_pruned,0.2360959587098345,0.8454373610884538,0.1799423119591746,0.2800088750832039
C080_M000_T028,test,youden_3yr,youden,3,0.0032869455746522,0.140825127415103,0.137538181840451,0.32869455746521997,-0.8,0.0,28,completed_full_storage_pruned,0.2360959587098345,0.8454373610884538,0.1799423119591746,0.2800088750832039
C080_M020_T012,insample,fpr3_5yr,fpr3,5,0.0006851998879797,0.093073119422886,0.0923879195349062,0.06851998879797,-0.8,-0.2,12,completed_full_storage_pruned,0.2589013358473491,0.8771689333977827,0.2603704669971302,0.3636837985911818
C080_M020_T012,test,youden_3yr,youden,3,0.002280699871271,0.139818881711722,0.137538181840451,0.2280699871271,-0.8,-0.2,12,completed_full_storage_pruned,0.2589013358473491,0.8771689333977827,0.2603704669971302,0.3636837985911818
C080_M020_T018,insample,fpr3_5yr,fpr3,5,0.000495126732781,0.0928830462676873,0.0923879195349062,0.049512673278099995,-0.8,-0.2,18,skipped_complete_storage_pruned,0.2030567657525105,0.8619650121843571,0.2302019878166079,0.3366463610131452
C080_M020_T018,test,youden_3yr,youden,3,0.0026909360071039,0.140229117847555,0.137538181840451,0.26909360071039,-0.8,-0.2,18,skipped_complete_storage_pruned,0.2030567657525105,0.8619650121843571,0.2302019878166079,0.3366463610131452
C080_M020_T028,insample,fpr3_5yr,fpr3,5,0.0005573861400767,0.0929453056749829,0.0923879195349062,0.05573861400767,-0.8,-0.2,28,completed_full_storage_pruned,0.1696002260737777,0.8613309413011405,0.2278233685033216,0.331770222743259
C080_M020_T028,test,youden_3yr,youden,3,0.0025770069727848,0.140115188813236,0.137538181840451,0.25770069727848,-0.8,-0.2,28,completed_full_storage_pruned,0.1696002260737777,0.8613309413011405,0.2278233685033216,0.331770222743259
C080_M030_T012,insample,fpr1_5yr,fpr1,5,0.0002755063593697,0.092663425894276,0.0923879195349062,0.02755063593697,-0.8,-0.3,12,completed_full_storage_pruned,0.1929015982724341,0.8688925704643626,0.29242700729927,0.3909671532846715
C080_M030_T012,test,youden_5yr,youden,5,0.0029680645394163,0.140506246379867,0.137538181840451,0.29680645394163,-0.8,-0.3,12,completed_full_storage_pruned,0.1929015982724341,0.8688925704643626,0.29242700729927,0.3909671532846715
C080_M030_T018,insample,fpr3_3yr,fpr3,3,0.0010432866552925,0.0934312061901987,0.0923879195349062,0.10432866552924999,-0.8,-0.3,18,completed_full_storage_pruned,0.1621536642497029,0.8794847348089704,0.2641025641025641,0.3728205128205128
C080_M030_T018,test,youden_3yr,youden,3,0.0032329538445783,0.140771135685029,0.137538181840451,0.32329538445783,-0.8,-0.3,18,completed_full_storage_pruned,0.1621536642497029,0.8794847348089704,0.2641025641025641,0.3728205128205128
C080_M030_T028,insample,fpr3_3yr,fpr3,3,0.0010576287896255,0.0934455483245318,0.0923879195349062,0.10576287896255002,-0.8,-0.3,28,completed_full_storage_pruned,0.1430249565623256,0.8642383069692436,0.2532069157836029,0.3580591187953151
C080_M030_T028,test,youden_5yr,youden,5,0.0032588396680175,0.140797021508469,0.137538181840451,0.32588396680175,-0.8,-0.3,28,completed_full_storage_pruned,0.1430249565623256,0.8642383069692436,0.2532069157836029,0.3580591187953151
C090_M000_T012,insample,fpr3_3yr,fpr3,3,0.0003616518085518,0.0927495713434581,0.0923879195349062,0.03616518085518,-0.9,0.0,12,completed_full_storage_pruned,0.4415165511915948,0.916241197160072,0.3698050753953659,0.4990805443177639
C090_M000_T012,test,youden_3yr,youden,3,0.0029365727863808,0.140474754626832,0.137538181840451,0.29365727863808,-0.9,0.0,12,completed_full_storage_pruned,0.4415165511915948,0.916241197160072,0.3698050753953659,0.4990805443177639
C090_M000_T018,insample,fpr3_5yr,fpr3,5,0.0005068026191539,0.0928947221540601,0.0923879195349062,0.050680261915390004,-0.9,0.0,18,completed_full_storage_pruned,0.3028886690948825,0.8994298504342737,0.2727720334810438,0.3983259478089611
C090_M000_T018,test,youden_5yr,youden,5,0.0023016311260357,0.139839812966487,0.137538181840451,0.23016311260356997,-0.9,0.0,18,completed_full_storage_pruned,0.3028886690948825,0.8994298504342737,0.2727720334810438,0.3983259478089611
C090_M000_T028,insample,fpr3_3yr,fpr3,3,0.0010822807747004,0.0934702003096066,0.0923879195349062,0.10822807747004001,-0.9,0.0,28,completed_full_storage_pruned,0.2104633268342269,0.8832595674143012,0.2266928361138371,0.3421655217533529
C090_M000_T028,test,youden_3yr,youden,3,0.0026437643398962,0.140181946180347,0.137538181840451,0.26437643398962,-0.9,0.0,28,completed_full_storage_pruned,0.2104633268342269,0.8832595674143012,0.2266928361138371,0.3421655217533529
C090_M020_T012,insample,fpr3_3yr,fpr3,3,0.0007876348483171,0.0931755543832233,0.0923879195349062,0.07876348483171,-0.9,-0.2,12,completed_full_storage_pruned,0.2640740784592465,0.9117569036376764,0.3198529411764705,0.456985294117647
C090_M020_T012,test,youden_3yr,youden,3,0.0036482097542838,0.141186391594735,0.137538181840451,0.36482097542838,-0.9,-0.2,12,completed_full_storage_pruned,0.2640740784592465,0.9117569036376764,0.3198529411764705,0.456985294117647
C090_M020_T018,insample,youden_3yr,youden,3,0.0015748246918889,0.0939627442267952,0.0923879195349062,0.15748246918889,-0.9,-0.2,18,completed_full_storage_pruned,0.1984064005387905,0.8974575808448207,0.2786091549295774,0.4102112676056338
C090_M020_T018,test,youden_2yr,youden,2,0.0042046516907594,0.141742833531211,0.137538181840451,0.42046516907594006,-0.9,-0.2,18,completed_full_storage_pruned,0.1984064005387905,0.8974575808448207,0.2786091549295774,0.4102112676056338
C090_M020_T028,insample,fpr1_3yr,fpr1,3,7.47309657378459e-05,0.0924626505006441,0.0923879195349062,0.00747309657378459,-0.9,-0.2,28,skipped_complete_storage_pruned,0.1629553554297533,0.8937796513353026,0.2674357629785002,0.3917147351861563
C090_M020_T028,test,youden_5yr,youden,5,0.0029320379902013,0.140470219830652,0.137538181840451,0.29320379902013,-0.9,-0.2,28,skipped_complete_storage_pruned,0.1629553554297533,0.8937796513353026,0.2674357629785002,0.3917147351861563
C090_M030_T012,insample,fpr1_3yr,fpr1,3,0.0001563331059966,0.0925442526409028,0.0923879195349062,0.01563331059966,-0.9,-0.3,12,completed_full_storage_pruned,0.167629208036856,0.9018930964086576,0.3157572041692213,0.440220723482526
C090_M030_T012,test,youden_3yr,youden,3,0.0030709956107253,0.140609177451176,0.137538181840451,0.30709956107253,-0.9,-0.3,12,completed_full_storage_pruned,0.167629208036856,0.9018930964086576,0.3157572041692213,0.440220723482526
C090_M030_T018,insample,fpr3_3yr,fpr3,3,0.0001526150961292,0.0925405346310355,0.0923879195349062,0.015261509612919999,-0.9,-0.3,18,completed_full_storage_pruned,0.141647235447262,0.8865559553256622,0.2774798927613941,0.3941018766756032
C090_M030_T018,test,youden_3yr,youden,3,0.0032827735596989,0.14082095540015,0.137538181840451,0.32827735596989,-0.9,-0.3,18,completed_full_storage_pruned,0.141647235447262,0.8865559553256622,0.2774798927613941,0.3941018766756032
C090_M030_T028,insample,fpr3_3yr,fpr3,3,0.0007050614455661,0.0930929809804724,0.0923879195349062,0.07050614455661,-0.9,-0.3,28,completed_full_storage_pruned,0.1535489451962098,0.9075211777767282,0.3232758620689655,0.4619252873563218
C090_M030_T028,test,youden_3yr,youden,3,0.0033498998389522,0.140888081679403,0.137538181840451,0.33498998389522,-0.9,-0.3,28,completed_full_storage_pruned,0.1535489451962098,0.9075211777767282,0.3232758620689655,0.4619252873563218
