track,universe,model,model_key,threshold_rule,lockout_or_permanent_rule,strategy_id,transaction_cost_bps,benchmark_geo_return_pct,strategy_net_geo_return_pct,active_alpha_recomputed_pp,active_alpha_source_column_pp,turnover_annual_gross,turnover_source,expected_annual_cost_drag_pp,benchmark_turnover_annual_gross,benchmark_expected_annual_cost_drag_pp,displayed_slide_value_pp,displayed_minus_recomputed_pp,rounded_recomputed_pp,pass_fail
Permanent CSI,Total,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent removal,fpr5_permanent,20,13.275693,13.541520,0.265828,0.265828,0.067995,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.013599,0.067190,0.013438,0.27,0.004172,0.27,PASS
Permanent CSI,Large,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent removal,fpr5_permanent,5,14.269993,14.498667,0.228675,0.228675,0.115137,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.005757,0.122584,0.006129,0.23,0.001325,0.23,PASS
Permanent CSI,Large,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent removal,fpr5_permanent,10,14.263125,14.492213,0.229087,0.229087,0.115137,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.011514,0.122584,0.012258,0.23,0.000913,0.23,PASS
Permanent CSI,Large,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent removal,fpr5_permanent,20,14.249392,14.479304,0.229912,0.229912,0.115137,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.023027,0.122584,0.024517,0.23,0.000088,0.23,PASS
Permanent CSI,Mid,AG Base Dataset,fund,FPR5,permanent removal,fpr5_permanent,5,9.595843,10.334457,0.738614,0.738614,1.062382,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.053119,1.069810,0.053491,0.74,0.001386,0.74,PASS
Permanent CSI,Mid,AG Base Dataset,fund,FPR5,permanent removal,fpr5_permanent,10,9.538258,10.276931,0.738673,0.738673,1.062382,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.106238,1.069810,0.106981,0.74,0.001327,0.74,PASS
Permanent CSI,Mid,AG Base Dataset,fund,FPR5,permanent removal,fpr5_permanent,20,9.423154,10.161945,0.738791,0.738791,1.062382,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.212476,1.069810,0.213962,0.74,0.001209,0.74,PASS
Permanent CSI,Small,AG Latent Dataset (VAE),latent_raw,FPR3,permanent removal,fpr3_permanent,5,7.614411,7.935573,0.321162,0.321162,0.757282,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv,0.037864,0.762737,0.038137,0.32,-0.001162,0.32,PASS
Permanent CSI,Small,AG Latent Dataset (VAE),latent_raw,FPR3,permanent removal,fpr3_permanent,10,7.574144,7.895488,0.321344,0.321344,0.757282,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv,0.075728,0.762737,0.076274,0.32,-0.001344,0.32,PASS
Permanent CSI,Small,AG Latent Dataset (VAE),latent_raw,FPR3,permanent removal,fpr3_permanent,20,7.493643,7.815351,0.321707,0.321707,0.757282,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv,0.151456,0.762737,0.152547,0.32,-0.001707,0.32,PASS
