track,universe,model,model_key,threshold_rule,lockout_or_permanent_rule,strategy_id,transaction_cost_bps,zero_cost_benchmark_geo_return_pct,strategy_net_geo_return_pct,corrected_active_alpha_pp,current_slide_displayed_alpha_pp,corrected_minus_displayed_pp,slide_ready_corrected_active_alpha_pp,turnover_annual_gross,expected_annual_cost_drag_pp,current_source_costed_benchmark_alpha_pp,source_file
Temporary CSI,Small,AG Exp. Dataset + VAE,raw_plus_latent,Youden,3y lockout,youden_3yr,10,7.654689,8.199775,0.545086,0.63,-0.084914,0.55,0.854929,0.085493,0.625631,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Small,AG Exp. Dataset + VAE,raw_plus_latent,Youden,3y lockout,youden_3yr,20,7.654689,8.108965,0.454276,0.62,-0.165724,0.45,0.854929,0.170986,0.615321,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Total,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent,fpr5_permanent,5,13.290698,13.552922,0.262224,0.27,-0.007776,0.26,0.067995,0.003400,0.265975,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Total,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent,fpr5_permanent,10,13.290698,13.549121,0.258423,0.27,-0.011577,0.26,0.067995,0.006800,0.265926,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Total,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent,fpr5_permanent,20,13.290698,13.541520,0.250823,0.27,-0.019177,0.25,0.067995,0.013599,0.265828,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Large,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent,fpr5_permanent,5,14.276860,14.498667,0.221807,0.23,-0.008193,0.22,0.115137,0.005757,0.228675,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Large,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent,fpr5_permanent,10,14.276860,14.492213,0.215352,0.23,-0.014648,0.22,0.115137,0.011514,0.229087,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Large,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent,fpr5_permanent,20,14.276860,14.479304,0.202444,0.23,-0.027556,0.20,0.115137,0.023027,0.229912,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Mid,AG Base Dataset,fund,FPR5,permanent,fpr5_permanent,5,9.653451,10.334457,0.681006,0.74,-0.058994,0.68,1.062382,0.053119,0.738614,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Mid,AG Base Dataset,fund,FPR5,permanent,fpr5_permanent,10,9.653451,10.276931,0.623480,0.74,-0.116520,0.62,1.062382,0.106238,0.738673,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Mid,AG Base Dataset,fund,FPR5,permanent,fpr5_permanent,20,9.653451,10.161945,0.508494,0.74,-0.231506,0.51,1.062382,0.212476,0.738791,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Small,AG Latent Dataset (VAE),latent_raw,FPR3,permanent,fpr3_permanent,5,7.654689,7.935573,0.280885,0.32,-0.039115,0.28,0.757282,0.037864,0.321162,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Small,AG Latent Dataset (VAE),latent_raw,FPR3,permanent,fpr3_permanent,10,7.654689,7.895488,0.240800,0.32,-0.079200,0.24,0.757282,0.075728,0.321344,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv
Permanent CSI,Small,AG Latent Dataset (VAE),latent_raw,FPR3,permanent,fpr3_permanent,20,7.654689,7.815351,0.160662,0.32,-0.159338,0.16,0.757282,0.151456,0.321707,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv
