track,period,model,model_label,transaction_cost_bps,n_configurations,mean_realized_alpha,median_realized_alpha,max_realized_alpha,max_alpha_index_id,max_alpha_threshold_method,max_alpha_lockout_years,max_alpha_exclusion_rule,max_alpha_strategy_id,mean_tp_exclusion_gain,mean_fp_exclusion_cost,mean_retained_stock_reweighting_effect,mean_transaction_cost_effect,mean_compounding_geometric_adjustment
permanent CSI,insample,latent_raw,Latent Dataset (VAE),20,16,-0.0010160138,-0.0008362922,0.0008003780,mid_cap,youden,0,permanent_removal,youden_permanent,0.0005417725,-0.0064854106,0.0049141039,-0.0011648929,0.0011784132
permanent CSI,insample,latent_raw,Latent Dataset (VAE),5,16,-0.0001424397,-0.0001119080,0.0024192549,mid_cap,youden,0,permanent_removal,youden_permanent,0.0005417725,-0.0064854106,0.0049141039,-0.0002913188,0.0011784132
permanent CSI,oos,latent_raw,Latent Dataset (VAE),0,16,-0.0002309498,-0.0007599363,0.0058758436,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001721761,-0.0179031260,0.0164020869,0.0000000000,0.0010979131
permanent CSI,oos,latent_raw,Latent Dataset (VAE),10,16,-0.0007755750,-0.0011329133,0.0047407947,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001721761,-0.0179031260,0.0164020869,-0.0005446252,0.0010979131
permanent CSI,oos,latent_raw,Latent Dataset (VAE),20,16,-0.0013198657,-0.0012349682,0.0036065995,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001721761,-0.0179031260,0.0164020869,-0.0010889159,0.0010979131
permanent CSI,oos,latent_raw,Latent Dataset (VAE),5,16,-0.0005033042,-0.0009906979,0.0053082124,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001721761,-0.0179031260,0.0164020869,-0.0002723544,0.0010979131
permanent CSI,test,latent_raw,Latent Dataset (VAE),0,16,0.0016612181,0.0014244815,0.0057384416,small_cap,youden,0,permanent_removal,youden_permanent,0.0002192111,-0.0080389623,0.0078022892,0.0000000000,0.0016786801
permanent CSI,test,latent_raw,Latent Dataset (VAE),10,16,0.0012128595,0.0011884635,0.0050130299,small_cap,youden,0,permanent_removal,youden_permanent,0.0002192111,-0.0080389623,0.0078022892,-0.0004483585,0.0016786801
permanent CSI,test,latent_raw,Latent Dataset (VAE),20,16,0.0007647171,0.0007142762,0.0042879659,small_cap,youden,0,permanent_removal,youden_permanent,0.0002192111,-0.0080389623,0.0078022892,-0.0008965010,0.0016786801
permanent CSI,test,latent_raw,Latent Dataset (VAE),5,16,0.0014370118,0.0012393843,0.0053756923,small_cap,youden,0,permanent_removal,youden_permanent,0.0002192111,-0.0080389623,0.0078022892,-0.0002242063,0.0016786801
permanent CSI,full,raw,Expanded Dataset,0,16,0.0002148998,0.0006049012,0.0015485761,mid_cap,fpr3,0,permanent_removal,fpr3_permanent,0.0004259030,-0.0087577026,0.0070493652,0.0000000000,0.0014973341
permanent CSI,full,raw,Expanded Dataset,10,16,-0.0003341486,-0.0000805899,0.0009816886,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0004259030,-0.0087577026,0.0070493652,-0.0005490484,0.0014973341
permanent CSI,full,raw,Expanded Dataset,20,16,-0.0008829363,-0.0008911766,0.0008454616,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0004259030,-0.0087577026,0.0070493652,-0.0010978361,0.0014973341
permanent CSI,full,raw,Expanded Dataset,5,16,-0.0000596570,0.0002123708,0.0010497878,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0004259030,-0.0087577026,0.0070493652,-0.0002745568,0.0014973341
permanent CSI,insample,raw,Expanded Dataset,0,16,0.0005387862,0.0005197174,0.0016470200,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0005866223,-0.0060687621,0.0045026159,0.0000000000,0.0015183100
permanent CSI,insample,raw,Expanded Dataset,10,16,-0.0000431235,0.0001627678,0.0014200412,large_cap,youden,0,permanent_removal,youden_permanent,0.0005866223,-0.0060687621,0.0045026159,-0.0005819097,0.0015183100
permanent CSI,insample,raw,Expanded Dataset,20,16,-0.0006247803,-0.0003347272,0.0011957330,large_cap,youden,0,permanent_removal,youden_permanent,0.0005866223,-0.0060687621,0.0045026159,-0.0011635664,0.0015183100
permanent CSI,insample,raw,Expanded Dataset,5,16,0.0002477997,0.0003141422,0.0015321774,large_cap,youden,0,permanent_removal,youden_permanent,0.0005866223,-0.0060687621,0.0045026159,-0.0002909865,0.0015183100
permanent CSI,oos,raw,Expanded Dataset,0,16,-0.0013209217,0.0009784338,0.0045690932,mid_cap,fpr3,0,permanent_removal,fpr3_permanent,0.0001676011,-0.0167031093,0.0138256846,0.0000000000,0.0013889019
permanent CSI,oos,raw,Expanded Dataset,10,16,-0.0018617840,0.0006632352,0.0034166259,mid_cap,fpr3,0,permanent_removal,fpr3_permanent,0.0001676011,-0.0167031093,0.0138256846,-0.0005408623,0.0013889019
permanent CSI,oos,raw,Expanded Dataset,20,16,-0.0024023132,-0.0000445412,0.0022650412,mid_cap,fpr3,0,permanent_removal,fpr3_permanent,0.0001676011,-0.0167031093,0.0138256846,-0.0010813915,0.0013889019
permanent CSI,oos,raw,Expanded Dataset,5,16,-0.0015913945,0.0007602333,0.0039927492,mid_cap,fpr3,0,permanent_removal,fpr3_permanent,0.0001676011,-0.0167031093,0.0138256846,-0.0002704728,0.0013889019
permanent CSI,test,raw,Expanded Dataset,0,16,0.0010646832,0.0007700895,0.0069080010,small_cap,youden,0,permanent_removal,youden_permanent,0.0002266971,-0.0074099040,0.0069452095,0.0000000000,0.0013026806
permanent CSI,test,raw,Expanded Dataset,10,16,0.0006168242,0.0003363459,0.0062202801,small_cap,youden,0,permanent_removal,youden_permanent,0.0002266971,-0.0074099040,0.0069452095,-0.0004478590,0.0013026806
permanent CSI,test,raw,Expanded Dataset,20,16,0.0001691809,0.0000967285,0.0055328723,small_cap,youden,0,permanent_removal,youden_permanent,0.0002266971,-0.0074099040,0.0069452095,-0.0008955023,0.0013026806
permanent CSI,test,raw,Expanded Dataset,5,16,0.0008407267,0.0005632806,0.0065641014,small_cap,youden,0,permanent_removal,youden_permanent,0.0002266971,-0.0074099040,0.0069452095,-0.0002239565,0.0013026806
permanent CSI,full,raw_plus_latent,Exp. Dataset + VAE,0,16,0.0002507087,0.0005899975,0.0022406651,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003954389,-0.0093787493,0.0075524856,0.0000000000,0.0016815335
permanent CSI,full,raw_plus_latent,Exp. Dataset + VAE,10,16,-0.0002996997,-0.0000243098,0.0013276590,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0003954389,-0.0093787493,0.0075524856,-0.0005504084,0.0016815335
permanent CSI,full,raw_plus_latent,Exp. Dataset + VAE,20,16,-0.0008498456,-0.0006253479,0.0011916575,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0003954389,-0.0093787493,0.0075524856,-0.0011005543,0.0016815335
permanent CSI,full,raw_plus_latent,Exp. Dataset + VAE,5,16,-0.0000245283,0.0003680543,0.0017016571,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003954389,-0.0093787493,0.0075524856,-0.0002752370,0.0016815335
permanent CSI,insample,raw_plus_latent,Exp. Dataset + VAE,0,16,0.0006172465,0.0005388302,0.0018832906,small_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0005452336,-0.0064127809,0.0048335662,0.0000000000,0.0016512276
permanent CSI,insample,raw_plus_latent,Exp. Dataset + VAE,10,16,0.0000339216,0.0002744479,0.0010540419,small_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0005452336,-0.0064127809,0.0048335662,-0.0005833249,0.0016512276
permanent CSI,insample,raw_plus_latent,Exp. Dataset + VAE,20,16,-0.0005491484,-0.0001922281,0.0007673773,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0005452336,-0.0064127809,0.0048335662,-0.0011663949,0.0016512276
permanent CSI,insample,raw_plus_latent,Exp. Dataset + VAE,5,16,0.0003255522,0.0003737965,0.0014686172,small_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0005452336,-0.0064127809,0.0048335662,-0.0002916943,0.0016512276
permanent CSI,oos,raw_plus_latent,Exp. Dataset + VAE,0,16,-0.0017142256,0.0008829391,0.0041226603,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001506156,-0.0181075089,0.0146090684,0.0000000000,0.0016335993
permanent CSI,oos,raw_plus_latent,Exp. Dataset + VAE,10,16,-0.0022562319,0.0007521268,0.0029701139,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001506156,-0.0181075089,0.0146090684,-0.0005420063,0.0016335993
permanent CSI,oos,raw_plus_latent,Exp. Dataset + VAE,20,16,-0.0027979029,0.0002981608,0.0025082285,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0001506156,-0.0181075089,0.0146090684,-0.0010836773,0.0016335993
permanent CSI,oos,raw_plus_latent,Exp. Dataset + VAE,5,16,-0.0019852707,0.0008042359,0.0035462767,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001506156,-0.0181075089,0.0146090684,-0.0002710451,0.0016335993
permanent CSI,test,raw_plus_latent,Exp. Dataset + VAE,0,16,0.0015353772,0.0005906844,0.0082971201,small_cap,youden,0,permanent_removal,youden_permanent,0.0002148714,-0.0079255200,0.0076657415,0.0000000000,0.0015802843
permanent CSI,test,raw_plus_latent,Exp. Dataset + VAE,10,16,0.0010861545,0.0003187489,0.0076032111,small_cap,youden,0,permanent_removal,youden_permanent,0.0002148714,-0.0079255200,0.0076657415,-0.0004492227,0.0015802843
permanent CSI,test,raw_plus_latent,Exp. Dataset + VAE,20,16,0.0006371487,0.0001738068,0.0069096203,small_cap,youden,0,permanent_removal,youden_permanent,0.0002148714,-0.0079255200,0.0076657415,-0.0008982285,0.0015802843
permanent CSI,test,raw_plus_latent,Exp. Dataset + VAE,5,16,0.0013107388,0.0004663297,0.0079501258,small_cap,youden,0,permanent_removal,youden_permanent,0.0002148714,-0.0079255200,0.0076657415,-0.0002246384,0.0015802843
temporary CSI,full,fund,Base Dataset,0,64,0.0005410506,0.0002923894,0.0032642024,small_cap,youden,3,lockout_3yr,youden_3yr,0.0004999274,-0.0041567774,0.0034024955,0.0000000000,0.0007954051
temporary CSI,full,fund,Base Dataset,10,64,-0.0000208522,-0.0001332495,0.0024112081,small_cap,youden,3,lockout_3yr,youden_3yr,0.0004999274,-0.0041567774,0.0034024955,-0.0005619028,0.0007954051
temporary CSI,full,fund,Base Dataset,20,64,-0.0005824833,-0.0004453553,0.0015586534,small_cap,youden,3,lockout_3yr,youden_3yr,0.0004999274,-0.0041567774,0.0034024955,-0.0011235339,0.0007954051
temporary CSI,full,fund,Base Dataset,5,64,0.0002600652,0.0000790926,0.0028376502,small_cap,youden,3,lockout_3yr,youden_3yr,0.0004999274,-0.0041567774,0.0034024955,-0.0002809853,0.0007954051
temporary CSI,insample,fund,Base Dataset,0,64,0.0006791549,0.0004707405,0.0023600527,small_cap,fpr5,3,lockout_3yr,fpr5_3yr,0.0006320937,-0.0031744685,0.0023879891,0.0000000000,0.0008335406
temporary CSI,insample,fund,Base Dataset,10,64,0.0000833307,0.0000170512,0.0015183731,small_cap,fpr5,3,lockout_3yr,fpr5_3yr,0.0006320937,-0.0031744685,0.0023879891,-0.0005958242,0.0008335406
temporary CSI,insample,fund,Base Dataset,20,64,-0.0005122275,-0.0004524277,0.0006770996,small_cap,fpr5,3,lockout_3yr,fpr5_3yr,0.0006320937,-0.0031744685,0.0023879891,-0.0011913824,0.0008335406
temporary CSI,insample,fund,Base Dataset,5,64,0.0003812095,0.0002842423,0.0019391621,small_cap,fpr5,3,lockout_3yr,fpr5_3yr,0.0006320937,-0.0031744685,0.0023879891,-0.0002979454,0.0008335406
temporary CSI,oos,fund,Base Dataset,0,64,-0.0001603483,0.0000257371,0.0051988743,small_cap,youden,5,lockout_5yr,youden_5yr,0.0003340924,-0.0083028205,0.0067981751,0.0000000000,0.0010102046
temporary CSI,oos,fund,Base Dataset,10,64,-0.0007156738,-0.0002564848,0.0042840044,small_cap,youden,5,lockout_5yr,youden_5yr,0.0003340924,-0.0083028205,0.0067981751,-0.0005553254,0.0010102046
temporary CSI,oos,fund,Base Dataset,20,64,-0.0012706547,-0.0006400611,0.0040805931,total_market,youden,3,lockout_3yr,youden_3yr,0.0003340924,-0.0083028205,0.0067981751,-0.0011103064,0.0010102046
temporary CSI,oos,fund,Base Dataset,5,64,-0.0004380541,-0.0000897473,0.0047413694,small_cap,youden,5,lockout_5yr,youden_5yr,0.0003340924,-0.0083028205,0.0067981751,-0.0002777058,0.0010102046
temporary CSI,test,fund,Base Dataset,0,64,0.0009952222,0.0000752742,0.0067462927,small_cap,youden,2,lockout_2yr,youden_2yr,0.0002778364,-0.0021267465,0.0024846659,0.0000000000,0.0003594663
temporary CSI,test,fund,Base Dataset,10,64,0.0005401253,-0.0001106454,0.0060410867,small_cap,youden,2,lockout_2yr,youden_2yr,0.0002778364,-0.0021267465,0.0024846659,-0.0004550969,0.0003594663
temporary CSI,test,fund,Base Dataset,20,64,0.0000852491,-0.0002359181,0.0053362044,small_cap,youden,2,lockout_2yr,youden_2yr,0.0002778364,-0.0021267465,0.0024846659,-0.0009099731,0.0003594663
temporary CSI,test,fund,Base Dataset,5,64,0.0007676461,-0.0000286133,0.0063936492,small_cap,youden,2,lockout_2yr,youden_2yr,0.0002778364,-0.0021267465,0.0024846659,-0.0002275760,0.0003594663
temporary CSI,full,latent_raw,Latent Dataset (VAE),0,64,0.0003083630,0.0002256426,0.0034125110,small_cap,youden,2,lockout_2yr,youden_2yr,0.0004950007,-0.0045851216,0.0037131312,0.0000000000,0.0006853527
temporary CSI,full,latent_raw,Latent Dataset (VAE),10,64,-0.0002550923,-0.0002791362,0.0025317349,small_cap,youden,2,lockout_2yr,youden_2yr,0.0004950007,-0.0045851216,0.0037131312,-0.0005634553,0.0006853527
temporary CSI,full,latent_raw,Latent Dataset (VAE),20,64,-0.0008182749,-0.0008544162,0.0016514237,small_cap,youden,2,lockout_2yr,youden_2yr,0.0004950007,-0.0045851216,0.0037131312,-0.0011266379,0.0006853527
temporary CSI,full,latent_raw,Latent Dataset (VAE),5,64,0.0000266012,0.0000379557,0.0029720648,small_cap,youden,2,lockout_2yr,youden_2yr,0.0004950007,-0.0045851216,0.0037131312,-0.0002817618,0.0006853527
temporary CSI,insample,latent_raw,Latent Dataset (VAE),0,64,0.0005614723,0.0002279807,0.0039989132,small_cap,youden,2,lockout_2yr,youden_2yr,0.0006117276,-0.0037291170,0.0029328216,0.0000000000,0.0007460401
temporary CSI,insample,latent_raw,Latent Dataset (VAE),10,64,-0.0000367271,-0.0001481461,0.0030854281,small_cap,youden,2,lockout_2yr,youden_2yr,0.0006117276,-0.0037291170,0.0029328216,-0.0005981993,0.0007460401
temporary CSI,insample,latent_raw,Latent Dataset (VAE),20,64,-0.0006346578,-0.0004251854,0.0021724194,small_cap,youden,2,lockout_2yr,youden_2yr,0.0006117276,-0.0037291170,0.0029328216,-0.0011961301,0.0007460401
temporary CSI,insample,latent_raw,Latent Dataset (VAE),5,64,0.0002623390,0.0000179317,0.0035421111,small_cap,youden,2,lockout_2yr,youden_2yr,0.0006117276,-0.0037291170,0.0029328216,-0.0002991332,0.0007460401
temporary CSI,oos,latent_raw,Latent Dataset (VAE),0,64,-0.0005819395,0.0001421558,0.0035086535,small_cap,youden,1,lockout_1yr,youden_1yr,0.0003821527,-0.0086406410,0.0068668929,0.0000000000,0.0008096559
temporary CSI,oos,latent_raw,Latent Dataset (VAE),10,64,-0.0011400659,-0.0003317374,0.0025094945,small_cap,youden,1,lockout_1yr,youden_1yr,0.0003821527,-0.0086406410,0.0068668929,-0.0005581264,0.0008096559
temporary CSI,oos,latent_raw,Latent Dataset (VAE),20,64,-0.0016978469,-0.0012312372,0.0015109841,small_cap,youden,1,lockout_1yr,youden_1yr,0.0003821527,-0.0086406410,0.0068668929,-0.0011159074,0.0008096559
temporary CSI,oos,latent_raw,Latent Dataset (VAE),5,64,-0.0008610459,-0.0000818236,0.0030089929,small_cap,youden,1,lockout_1yr,youden_1yr,0.0003821527,-0.0086406410,0.0068668929,-0.0002791064,0.0008096559
temporary CSI,test,latent_raw,Latent Dataset (VAE),0,64,0.0006089011,0.0001030756,0.0062260718,small_cap,youden,5,lockout_5yr,youden_5yr,0.0002568410,-0.0022570658,0.0023319488,0.0000000000,0.0002771772
temporary CSI,test,latent_raw,Latent Dataset (VAE),10,64,0.0001564781,-0.0001020982,0.0055394288,small_cap,youden,5,lockout_5yr,youden_5yr,0.0002568410,-0.0022570658,0.0023319488,-0.0004524231,0.0002771772
temporary CSI,test,latent_raw,Latent Dataset (VAE),20,64,-0.0002957264,-0.0002270924,0.0048530961,small_cap,youden,5,lockout_5yr,youden_5yr,0.0002568410,-0.0022570658,0.0023319488,-0.0009046275,0.0002771772
temporary CSI,test,latent_raw,Latent Dataset (VAE),5,64,0.0003826623,-0.0000286133,0.0058827115,small_cap,youden,5,lockout_5yr,youden_5yr,0.0002568410,-0.0022570658,0.0023319488,-0.0002262389,0.0002771772
temporary CSI,full,raw,Expanded Dataset,0,64,0.0004187402,0.0002780185,0.0041420019,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005028172,-0.0040633019,0.0030850075,0.0000000000,0.0008942174
temporary CSI,full,raw,Expanded Dataset,10,64,-0.0001427437,-0.0000844261,0.0033020085,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005028172,-0.0040633019,0.0030850075,-0.0005614838,0.0008942174
temporary CSI,full,raw,Expanded Dataset,20,64,-0.0007039569,-0.0003987590,0.0024624401,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005028172,-0.0040633019,0.0030850075,-0.0011226971,0.0008942174
temporary CSI,full,raw,Expanded Dataset,5,64,0.0001379644,0.0000906620,0.0037219520,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005028172,-0.0040633019,0.0030850075,-0.0002807758,0.0008942174
temporary CSI,insample,raw,Expanded Dataset,0,64,0.0002839622,0.0002478215,0.0025209334,small_cap,youden,3,lockout_3yr,youden_3yr,0.0006033756,-0.0041433223,0.0028233983,0.0000000000,0.0010005107
temporary CSI,insample,raw,Expanded Dataset,10,64,-0.0003137116,-0.0001280725,0.0016482416,small_cap,youden,3,lockout_3yr,youden_3yr,0.0006033756,-0.0041433223,0.0028233983,-0.0005976738,0.0010005107
temporary CSI,insample,raw,Expanded Dataset,20,64,-0.0009111189,-0.0005777069,0.0007759855,small_cap,youden,3,lockout_3yr,youden_3yr,0.0006033756,-0.0041433223,0.0028233983,-0.0011950811,0.0010005107
temporary CSI,insample,raw,Expanded Dataset,5,64,-0.0000149080,0.0001088721,0.0020845331,small_cap,youden,3,lockout_3yr,youden_3yr,0.0006033756,-0.0041433223,0.0028233983,-0.0002988702,0.0010005107
temporary CSI,oos,raw,Expanded Dataset,0,64,0.0001903380,0.0002504402,0.0058326903,small_cap,youden,3,lockout_3yr,youden_3yr,0.0003976411,-0.0059914732,0.0046652231,0.0000000000,0.0011189470
temporary CSI,oos,raw,Expanded Dataset,10,64,-0.0003595234,-0.0000908059,0.0049508188,small_cap,youden,3,lockout_3yr,youden_3yr,0.0003976411,-0.0059914732,0.0046652231,-0.0005498613,0.0011189470
temporary CSI,oos,raw,Expanded Dataset,20,64,-0.0009090438,-0.0003413090,0.0040694659,small_cap,youden,3,lockout_3yr,youden_3yr,0.0003976411,-0.0059914732,0.0046652231,-0.0010993818,0.0011189470
temporary CSI,oos,raw,Expanded Dataset,5,64,-0.0000846353,0.0000258459,0.0053916897,small_cap,youden,3,lockout_3yr,youden_3yr,0.0003976411,-0.0059914732,0.0046652231,-0.0002749733,0.0011189470
temporary CSI,test,raw,Expanded Dataset,0,64,0.0011842034,0.0004675379,0.0076928853,small_cap,youden,2,lockout_2yr,youden_2yr,0.0003075991,-0.0013748085,0.0019683425,0.0000000000,0.0002830702
temporary CSI,test,raw,Expanded Dataset,10,64,0.0007307801,0.0001082523,0.0070079107,small_cap,youden,2,lockout_2yr,youden_2yr,0.0003075991,-0.0013748085,0.0019683425,-0.0004534233,0.0002830702
temporary CSI,test,raw,Expanded Dataset,20,64,0.0002775759,-0.0001340369,0.0063232439,small_cap,youden,2,lockout_2yr,youden_2yr,0.0003075991,-0.0013748085,0.0019683425,-0.0009066275,0.0002830702
temporary CSI,test,raw,Expanded Dataset,5,64,0.0009574644,0.0002933880,0.0073503595,small_cap,youden,2,lockout_2yr,youden_2yr,0.0003075991,-0.0013748085,0.0019683425,-0.0002267391,0.0002830702
temporary CSI,full,raw_plus_latent,Exp. Dataset + VAE,0,64,0.0002460627,0.0002953453,0.0029056016,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005875815,-0.0046194206,0.0034159581,0.0000000000,0.0008619437
temporary CSI,full,raw_plus_latent,Exp. Dataset + VAE,10,64,-0.0003168635,-0.0000835152,0.0020566046,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005875815,-0.0046194206,0.0034159581,-0.0005629262,0.0008619437
temporary CSI,full,raw_plus_latent,Exp. Dataset + VAE,20,64,-0.0008795183,-0.0003991716,0.0012080398,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005875815,-0.0046194206,0.0034159581,-0.0011255810,0.0008619437
temporary CSI,full,raw_plus_latent,Exp. Dataset + VAE,5,64,-0.0000354343,0.0000823505,0.0024810490,small_cap,youden,3,lockout_3yr,youden_3yr,0.0005875815,-0.0046194206,0.0034159581,-0.0002814970,0.0008619437
temporary CSI,insample,raw_plus_latent,Exp. Dataset + VAE,0,64,0.0002731147,0.0002834267,0.0023042504,mid_cap,fpr5,5,lockout_5yr,fpr5_5yr,0.0007156233,-0.0042009851,0.0027748152,0.0000000000,0.0009836613
temporary CSI,insample,raw_plus_latent,Exp. Dataset + VAE,10,64,-0.0003255177,-0.0000325851,0.0012772057,large_cap,youden,3,lockout_3yr,youden_3yr,0.0007156233,-0.0042009851,0.0027748152,-0.0005986324,0.0009836613
temporary CSI,insample,raw_plus_latent,Exp. Dataset + VAE,20,64,-0.0009238833,-0.0004546749,0.0010125488,large_cap,youden,3,lockout_3yr,youden_3yr,0.0007156233,-0.0042009851,0.0027748152,-0.0011969979,0.0009836613
temporary CSI,insample,raw_plus_latent,Exp. Dataset + VAE,5,64,-0.0000262349,0.0001032867,0.0017543622,mid_cap,fpr5,5,lockout_5yr,fpr5_5yr,0.0007156233,-0.0042009851,0.0027748152,-0.0002993496,0.0009836613
