analysis_family,subgroup,n_pairs,missing_or_non_numeric_pairs,model_metric,index_outcome,pearson_r,spearman_rho,strength_by_abs_pearson,note
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,index_return,0.336036,0.320870,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,index_sharpe,0.369048,0.389565,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,best_any_alpha,-0.146180,-0.048696,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,best_any_sharpe,-0.228395,-0.393043,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,best_any_max_drawdown,0.151776,-0.051304,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,mean_full_alpha,0.436445,0.452174,moderate,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
model_suite,all model-suite rows; repeated across universes and costs,32,0,ap,index_alpha,0.159053,0.060927,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,ap,index_return,-0.102572,-0.231522,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,ap,index_sharpe,-0.080210,-0.146225,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,ap,max_drawdown,-0.064452,0.088670,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,ap,annualized_turnover_gross,0.098057,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,ap,transaction_cost_drag,0.058833,0.046051,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,auc,index_alpha,0.010039,0.060927,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,auc,index_return,-0.207426,-0.231522,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,auc,index_sharpe,-0.180978,-0.146225,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,auc,max_drawdown,-0.278601,0.088670,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,auc,annualized_turnover_gross,0.062350,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,auc,transaction_cost_drag,0.037409,0.046051,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr1,index_alpha,0.186788,0.198777,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr1,index_return,-0.447474,-0.298165,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr1,index_sharpe,-0.420372,-0.198777,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr1,max_drawdown,-0.498512,0.099755,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr1,annualized_turnover_gross,0.258797,0.200250,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr1,transaction_cost_drag,0.155275,0.112683,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr3,index_alpha,0.100681,0.060927,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr3,index_return,-0.382003,-0.231522,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr3,index_sharpe,-0.354069,-0.146225,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr3,max_drawdown,-0.435589,0.088670,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr3,annualized_turnover_gross,0.196707,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr3,transaction_cost_drag,0.118022,0.046051,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr5,index_alpha,0.086741,0.060927,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr5,index_return,-0.322407,-0.231522,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr5,index_sharpe,-0.294969,-0.146225,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr5,max_drawdown,-0.370826,0.088670,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr5,annualized_turnover_gross,0.160915,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,recall_fpr5,transaction_cost_drag,0.096547,0.046051,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,brier,index_alpha,0.124720,0.134039,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,brier,index_return,0.076442,0.231522,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,brier,index_sharpe,0.095307,0.341191,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,brier,max_drawdown,0.196280,0.694070,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,brier,annualized_turnover_gross,0.029918,0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,brier,transaction_cost_drag,0.017950,-0.009210,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_ap,index_alpha,0.123851,0.085298,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_ap,index_return,0.410852,0.109668,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_ap,index_sharpe,0.411810,0.170595,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_ap,max_drawdown,0.448745,0.235433,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_ap,annualized_turnover_gross,-0.197064,-0.024551,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_ap,transaction_cost_drag,-0.118236,-0.041446,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_auc,index_alpha,0.084466,-0.060927,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_auc,index_return,0.493273,0.402118,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_auc,index_sharpe,0.474470,0.292449,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_auc,max_drawdown,0.425130,-0.284354,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_auc,annualized_turnover_gross,-0.293402,-0.294617,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_auc,transaction_cost_drag,-0.176037,-0.165784,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_recall_fpr3,index_alpha,0.064255,-0.036556,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_recall_fpr3,index_return,0.506470,0.450859,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_recall_fpr3,index_sharpe,0.485509,0.341191,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_recall_fpr3,max_drawdown,0.439210,-0.204858,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_recall_fpr3,annualized_turnover_gross,-0.303556,-0.245514,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,all model-suite rows; repeated across universes and costs,32,0,cv_recall_fpr3,transaction_cost_drag,-0.182130,-0.156574,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,ap,index_alpha,0.146202,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,ap,index_return,-0.102772,-0.233239,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,ap,index_sharpe,-0.080716,-0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,ap,max_drawdown,-0.064493,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,ap,annualized_turnover_gross,0.098057,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,ap,transaction_cost_drag,0.098057,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,auc,index_alpha,-0.003858,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,auc,index_return,-0.205132,-0.233239,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,auc,index_sharpe,-0.179343,-0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,auc,max_drawdown,-0.278787,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,auc,annualized_turnover_gross,0.062350,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,auc,transaction_cost_drag,0.062350,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr1,index_alpha,0.172596,0.200250,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr1,index_return,-0.445019,-0.300376,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr1,index_sharpe,-0.418543,-0.200250,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr1,max_drawdown,-0.498571,0.100125,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr1,annualized_turnover_gross,0.258797,0.200250,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr1,transaction_cost_drag,0.258797,0.200250,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr3,index_alpha,0.087132,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr3,index_return,-0.379424,-0.233239,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr3,index_sharpe,-0.352156,-0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr3,max_drawdown,-0.435691,0.061379,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr3,annualized_turnover_gross,0.196707,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr3,transaction_cost_drag,0.196707,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr5,index_alpha,0.073077,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr5,index_return,-0.320126,-0.233239,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr5,index_sharpe,-0.293326,-0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr5,max_drawdown,-0.370941,0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr5,annualized_turnover_gross,0.160915,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,recall_fpr5,transaction_cost_drag,0.160915,0.049103,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,brier,index_alpha,0.115061,0.135033,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,brier,index_return,0.074554,0.233239,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,brier,index_sharpe,0.093349,0.343720,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,brier,max_drawdown,0.196296,0.724267,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,brier,annualized_turnover_gross,0.029918,0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,brier,transaction_cost_drag,0.029918,0.147309,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_ap,index_alpha,0.115121,0.085930,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_ap,index_return,0.407816,0.110481,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_ap,index_sharpe,0.408995,0.171860,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_ap,max_drawdown,0.448660,0.208687,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_ap,annualized_turnover_gross,-0.197064,-0.024551,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_ap,transaction_cost_drag,-0.197064,-0.024551,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_auc,index_alpha,0.081689,-0.061379,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_auc,index_return,0.490759,0.405099,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_auc,index_sharpe,0.472370,0.294617,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_auc,max_drawdown,0.425008,-0.331444,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_auc,annualized_turnover_gross,-0.293402,-0.294617,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_auc,transaction_cost_drag,-0.293402,-0.294617,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_recall_fpr3,index_alpha,0.062975,-0.036827,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_recall_fpr3,index_return,0.503932,0.454201,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_recall_fpr3,index_sharpe,0.483421,0.343720,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_recall_fpr3,max_drawdown,0.439096,-0.233239,moderate,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_recall_fpr3,annualized_turnover_gross,-0.303556,-0.245514,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite 20 bps rows only,8,0,cv_recall_fpr3,transaction_cost_drag,-0.303556,-0.245514,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,ap,index_alpha,0.999644,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,ap,index_return,0.995991,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,ap,index_sharpe,0.999440,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,ap,max_drawdown,0.999970,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,ap,annualized_turnover_gross,1.000000,1.000000,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,ap,transaction_cost_drag,0.234378,0.164646,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,auc,index_alpha,0.999644,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,auc,index_return,0.995991,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,auc,index_sharpe,0.999440,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,auc,max_drawdown,0.999970,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,auc,annualized_turnover_gross,1.000000,1.000000,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,auc,transaction_cost_drag,0.234378,0.164646,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr1,index_alpha,0.999644,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr1,index_return,0.995991,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr1,index_sharpe,0.999440,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr1,max_drawdown,0.999970,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr1,annualized_turnover_gross,1.000000,1.000000,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr1,transaction_cost_drag,0.234378,0.164646,weak,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr3,index_alpha,0.999644,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
model_suite,model-suite total_market rows only,8,0,recall_fpr3,index_return,0.995991,0.872872,strong,"Family-level linkage by track/model_key; model metrics repeat across universes/costs, so correlations are descriptive."
