"period","index_id","universe","strategy_family","strategy","transaction_cost_bps","annualized_geometric_return","annualized_volatility","sharpe_ratio","max_drawdown","expected_shortfall_2p5","annualized_turnover_gross","source","geo_return_pct","annualized_volatility_pct","max_drawdown_pct","expected_shortfall_2p5_pct","annualized_turnover_pct"
"test","large_cap","Large","Low-volatility comparator","LowVol Q4",20,0.154307640296821,0.151118443627862,0.834704654950521,-0.20098100580194,-0.0986040741701616,1.35977003838159,"performance/lowvol_performance_summary.rds",15.4308,15.1118,-20.0981,-9.8604,135.977
"test","large_cap","Large","High-volatility comparator","HighVol Q5",20,0.10668460787622,0.182180849577674,0.487468936503645,-0.250952129302685,-0.130132459741187,0.953367890497435,"performance/lowvol_performance_summary.rds",10.6685,18.2181,-25.0952,-13.0132,95.3368
"test","large_cap","Large","Temporary CSI","CSI dynamic",20,0.144483130776167,0.113077650929592,0.994344249235261,-0.132712753193316,-0.0779408640919229,0.121809644592377,"comparisons/csi_vs_lowvol_headline.rds",14.4483,11.3078,-13.2713,-7.7941,12.181
"test","large_cap","Large","Permanent CSI","CSI permanent",20,0.142166640974536,0.114714095939418,0.963888110142298,-0.136330079489345,-0.0793100623305033,0.108910910859169,"comparisons/csi_vs_lowvol_headline.rds",14.2167,11.4714,-13.633,-7.931,10.8911
"test","mid_cap","Mid","Benchmark","Naive benchmark",0,0.138221983301796,0.128483393781291,0.846088146898577,-0.152986194442945,-0.0868125406716397,NA,"performance/benchmark_performance_summary.rds",13.8222,12.8483,-15.2986,-8.6813,NA
"test","mid_cap","Mid","Low-volatility comparator","LowVol Q1",20,0.143558848440716,0.0870922686402323,1.2516421250124,-0.0706868309918556,-0.0542676891158294,1.20564491354963,"performance/lowvol_performance_summary.rds",14.3559,8.7092,-7.0687,-5.4268,120.5645
"test","mid_cap","Mid","Low-volatility comparator","LowVol Q2",20,0.154411819722721,0.114048606406687,1.062832237619,-0.0994406973454892,-0.0663864887084982,1.95275914120683,"performance/lowvol_performance_summary.rds",15.4412,11.4049,-9.9441,-6.6386,195.2759
"test","mid_cap","Mid","Low-volatility comparator","LowVol Q3",20,0.132416956800837,0.142108128349181,0.741480073125295,-0.173180760588715,-0.0995056330437804,1.98849724898603,"performance/lowvol_performance_summary.rds",13.2417,14.2108,-17.3181,-9.9506,198.8497
"test","mid_cap","Mid","Low-volatility comparator","LowVol Q4",20,0.111994820253992,0.165074885594972,0.548500551242195,-0.205836249453168,-0.108976441970976,1.81444269584283,"performance/lowvol_performance_summary.rds",11.1995,16.5075,-20.5836,-10.8976,181.4443
"test","mid_cap","Mid","High-volatility comparator","HighVol Q5",20,0.126054702417115,0.191294391689183,0.564478172700587,-0.225459148800935,-0.131176381801807,1.73453439093653,"performance/lowvol_performance_summary.rds",12.6055,19.1294,-22.5459,-13.1176,173.4534
"test","mid_cap","Mid","Temporary CSI","CSI dynamic",20,0.136823299730671,0.1277758554249,0.840413010945453,-0.153274047387922,-0.0868648208737683,0.825790993804145,"comparisons/csi_vs_lowvol_headline.rds",13.6823,12.7776,-15.3274,-8.6865,82.5791
"test","mid_cap","Mid","Permanent CSI","CSI permanent",20,0.13918988086497,0.126677816346552,0.863146538841152,-0.149673324939421,-0.0859167798000312,0.822110181926585,"comparisons/csi_vs_lowvol_headline.rds",13.919,12.6678,-14.9673,-8.5917,82.211
"test","small_cap","Small","Benchmark","Naive benchmark",0,0.114350561831243,0.155530530108186,0.585945592616145,-0.200730433472269,-0.108024824265912,NA,"performance/benchmark_performance_summary.rds",11.4351,15.5531,-20.073,-10.8025,NA
"test","small_cap","Small","Low-volatility comparator","LowVol Q1",20,0.13131973345974,0.112507620672822,0.894534107609533,-0.128093556624904,-0.0818367126578027,0.987508564396717,"performance/lowvol_performance_summary.rds",13.132,11.2508,-12.8094,-8.1837,98.7509
"test","small_cap","Small","Low-volatility comparator","LowVol Q2",20,0.133834747180554,0.149849648048242,0.718872352650029,-0.175829890544596,-0.100244506491931,1.61607401076844,"performance/lowvol_performance_summary.rds",13.3835,14.985,-17.583,-10.0245,161.6074
"test","small_cap","Small","Low-volatility comparator","LowVol Q3",20,0.111564797615766,0.164448307664269,0.547248519823715,-0.205388292606495,-0.105927319757663,1.65427065746477,"performance/lowvol_performance_summary.rds",11.1565,16.4448,-20.5388,-10.5927,165.4271
"test","small_cap","Small","Low-volatility comparator","LowVol Q4",20,0.113983120872958,0.178560767164891,0.530201656035233,-0.229986196885126,-0.120527670091064,1.4901577542961,"performance/lowvol_performance_summary.rds",11.3983,17.8561,-22.9986,-12.0528,149.0158
"test","small_cap","Small","High-volatility comparator","HighVol Q5",20,0.0679229662672494,0.22175951801228,0.274233357658156,-0.273581492787797,-0.155589889776864,1.2986582642256,"performance/lowvol_performance_summary.rds",6.7923,22.176,-27.3581,-15.559,129.8658
"test","small_cap","Small","Temporary CSI","CSI dynamic",20,0.120433507883498,0.144794578779954,0.656308501351725,-0.183847882530935,-0.101708488963665,0.61991400378079,"comparisons/csi_vs_lowvol_headline.rds",12.0434,14.4795,-18.3848,-10.1708,61.9914
"test","small_cap","Small","Permanent CSI","CSI permanent",20,0.11321684470012,0.153757385540955,0.58429949431086,-0.19982899381623,-0.107534001431612,0.59411662355482,"comparisons/csi_vs_lowvol_headline.rds",11.3217,15.3757,-19.9829,-10.7534,59.4117
"oos","total_market","Total","Benchmark","Naive benchmark",0,0.13290697625299,0.190271989616425,0.597554194834524,-0.250346830247434,-0.116184018134976,NA,"performance/benchmark_performance_summary.rds",13.2907,19.0272,-25.0347,-11.6184,NA
"oos","total_market","Total","Low-volatility comparator","LowVol Q1",20,0.107947944918532,0.163998231376563,0.52833007443791,-0.215942947649299,-0.102758007956019,0.345320741556025,"performance/lowvol_performance_summary.rds",10.7948,16.3998,-21.5943,-10.2758,34.5321
"oos","total_market","Total","Low-volatility comparator","LowVol Q2",20,0.156406959072404,0.214611590499941,0.648603352804749,-0.252523618990516,-0.126494536452635,0.838537890156793,"performance/lowvol_performance_summary.rds",15.6407,21.4612,-25.2524,-12.6495,83.8538
"oos","total_market","Total","Low-volatility comparator","LowVol Q3",20,0.220206829076759,0.258983656678584,0.788704328021832,-0.316984740926332,-0.166136651714941,0.787924563255299,"performance/lowvol_performance_summary.rds",22.0207,25.8984,-31.6985,-16.6137,78.7925
"oos","total_market","Total","Low-volatility comparator","LowVol Q4",20,0.227625558974468,0.366350390187408,0.65645679606699,-0.471750187967469,-0.169678515890355,0.890232395894922,"performance/lowvol_performance_summary.rds",22.7626,36.635,-47.175,-16.9679,89.0232
"oos","total_market","Total","High-volatility comparator","HighVol Q5",20,0.0577176051058461,0.373822691626946,0.253594126604227,-0.597046634120714,-0.219217670161311,0.919811807564174,"performance/lowvol_performance_summary.rds",5.7718,37.3823,-59.7047,-21.9218,91.9812
"oos","total_market","Total","Temporary CSI","CSI dynamic",20,0.136987569380999,0.182773730673431,0.63444193931383,-0.237932814314476,-0.11218161260407,0.103737705162035,"comparisons/csi_vs_lowvol_headline.rds",13.6988,18.2774,-23.7933,-11.2182,10.3738
"oos","total_market","Total","Permanent CSI","CSI permanent",20,0.13541520479157,0.188167754511396,0.614017201457422,-0.247259687850652,-0.114528766731573,0.0679953024224083,"comparisons/csi_vs_lowvol_headline.rds",13.5415,18.8168,-24.726,-11.4529,6.7995
"oos","large_cap","Large","Benchmark","Naive benchmark",0,0.142768602800949,0.184949546951266,0.656681069784589,-0.24787534174225,-0.108380081659672,NA,"performance/benchmark_performance_summary.rds",14.2769,18.495,-24.7875,-10.838,NA
"oos","large_cap","Large","Low-volatility comparator","LowVol Q1",20,0.0881472764249258,0.155179865040475,0.432301918833697,-0.190121576070438,-0.0999866097603644,0.629687367174588,"performance/lowvol_performance_summary.rds",8.8147,15.518,-19.0122,-9.9987,62.9687
"oos","large_cap","Large","Low-volatility comparator","LowVol Q2",20,0.116912206961134,0.172631609169516,0.557079081618144,-0.215942651306413,-0.105323408604351,1.3655742362252,"performance/lowvol_performance_summary.rds",11.6912,17.2632,-21.5943,-10.5323,136.5574
"oos","large_cap","Large","Low-volatility comparator","LowVol Q3",20,0.117392747995661,0.187709709124439,0.528588663646614,-0.28165616773903,-0.114786203839084,1.79563567277836,"performance/lowvol_performance_summary.rds",11.7393,18.771,-28.1656,-11.4786,179.5636
"oos","large_cap","Large","Low-volatility comparator","LowVol Q4",20,0.150490416784325,0.222491965481057,0.609649984014008,-0.264120266005722,-0.130421486783581,1.58625297510535,"performance/lowvol_performance_summary.rds",15.049,22.2492,-26.412,-13.0421,158.6253
"oos","large_cap","Large","High-volatility comparator","HighVol Q5",20,0.282136632684142,0.281237485208115,0.924819861224591,-0.364789434787159,-0.154176353992308,0.660024930557637,"performance/lowvol_performance_summary.rds",28.2137,28.1237,-36.4789,-15.4176,66.0025
"oos","large_cap","Large","Temporary CSI","CSI dynamic",20,0.144007361311837,0.179807927136196,0.676463704979324,-0.239025425171287,-0.106482031394912,0.130353208449157,"comparisons/csi_vs_lowvol_headline.rds",14.4007,17.9808,-23.9025,-10.6482,13.0353
"oos","large_cap","Large","Permanent CSI","CSI permanent",20,0.144793043253745,0.183751055539244,0.669505255081181,-0.245206865468425,-0.107379088710644,0.115136595199074,"comparisons/csi_vs_lowvol_headline.rds",14.4793,18.3751,-24.5207,-10.7379,11.5137
"oos","mid_cap","Mid","Benchmark","Naive benchmark",0,0.0965345082868023,0.207240086524342,0.406366238451127,-0.245768061353803,-0.138316615834505,NA,"performance/benchmark_performance_summary.rds",9.6535,20.724,-24.5768,-13.8317,NA
"oos","mid_cap","Mid","Low-volatility comparator","LowVol Q1",20,0.0552181739794806,0.16426231723037,0.229901586119163,-0.221387158592206,-0.118966899995722,1.13935663128274,"performance/lowvol_performance_summary.rds",5.5218,16.4262,-22.1387,-11.8967,113.9357
"oos","mid_cap","Mid","Low-volatility comparator","LowVol Q2",20,0.10848008353296,0.190575819528554,0.481584172432359,-0.224330799934411,-0.118561097247639,1.81891539690568,"performance/lowvol_performance_summary.rds",10.848,19.0576,-22.4331,-11.8561,181.8915
"oos","mid_cap","Mid","Low-volatility comparator","LowVol Q3",20,0.0897697121192247,0.211642707186036,0.373204134124143,-0.258432232501786,-0.142301141982052,2.26703001284348,"performance/lowvol_performance_summary.rds",8.977,21.1643,-25.8432,-14.2301,226.703
"oos","mid_cap","Mid","Low-volatility comparator","LowVol Q4",20,0.102306466859784,0.237668650471026,0.40485722162648,-0.287231466223487,-0.168263812629905,2.22063068600295,"performance/lowvol_performance_summary.rds",10.2306,23.7669,-28.7231,-16.8264,222.0631
"oos","mid_cap","Mid","High-volatility comparator","HighVol Q5",20,0.12335104470799,0.273039040272713,0.452790203331434,-0.322011476371383,-0.172664537339477,1.86115614697108,"performance/lowvol_performance_summary.rds",12.3351,27.3039,-32.2011,-17.2665,186.1156
"oos","mid_cap","Mid","Temporary CSI","CSI dynamic",20,0.0993133193671372,0.206895600100532,0.419045876631201,-0.244624669382099,-0.138546641174592,1.05855597637233,"comparisons/csi_vs_lowvol_headline.rds",9.9313,20.6896,-24.4625,-13.8547,105.8556
"oos","mid_cap","Mid","Permanent CSI","CSI permanent",20,0.101619452103346,0.20569065485861,0.430747068249872,-0.24515958287347,-0.139046607644398,1.0623824100468,"comparisons/csi_vs_lowvol_headline.rds",10.1619,20.5691,-24.516,-13.9047,106.2382
"oos","small_cap","Small","Benchmark","Naive benchmark",0,0.0765468872773805,0.238036576135077,0.305259805749309,-0.290480206758502,-0.161156499621472,NA,"performance/benchmark_performance_summary.rds",7.6547,23.8037,-29.048,-16.1156,NA
"oos","small_cap","Small","Low-volatility comparator","LowVol Q1",20,0.0608857033467491,0.191102163965489,0.252821398191296,-0.29105915401434,-0.15575919197836,1.19637563679898,"performance/lowvol_performance_summary.rds",6.0886,19.1102,-29.1059,-15.5759,119.6376
"oos","small_cap","Small","Low-volatility comparator","LowVol Q2",20,0.100384901229404,0.223667208449031,0.408860182615288,-0.294150792129564,-0.157610773297663,1.61972876282698,"performance/lowvol_performance_summary.rds",10.0385,22.3667,-29.4151,-15.7611,161.9729
"oos","small_cap","Small","Low-volatility comparator","LowVol Q3",20,0.102892232294031,0.249349469093421,0.400265601810512,-0.306765925440735,-0.172130231892647,1.58722103055087,"performance/lowvol_performance_summary.rds",10.2892,24.9349,-30.6766,-17.213,158.7221
"oos","small_cap","Small","Low-volatility comparator","LowVol Q4",20,0.0973566912277291,0.26819580831767,0.369891076476646,-0.329419611068454,-0.171041462668237,1.6643585132973,"performance/lowvol_performance_summary.rds",9.7357,26.8196,-32.942,-17.1041,166.4359
"oos","small_cap","Small","High-volatility comparator","HighVol Q5",20,0.0588569786353812,0.321026003542484,0.244143964699045,-0.438753134498441,-0.20324608192154,1.53976465484573,"performance/lowvol_performance_summary.rds",5.8857,32.1026,-43.8753,-20.3246,153.9765
"oos","small_cap","Small","Temporary CSI","CSI dynamic",20,0.0810896467354332,0.226372780339294,0.328118898701175,-0.293344872914756,-0.157721317343957,0.854928545631686,"comparisons/csi_vs_lowvol_headline.rds",8.109,22.6373,-29.3345,-15.7721,85.4929
"oos","small_cap","Small","Permanent CSI","CSI permanent",20,0.0781535080221791,0.237712006730106,0.311822471934478,-0.292589421196298,-0.163475773366147,0.757282105013082,"comparisons/csi_vs_lowvol_headline.rds",7.8154,23.7712,-29.2589,-16.3476,75.7282
